kind,score_kind,tau,tp,fp,fn,tn,precision,recall,f1,tpr,fpr,accuracy
noun_close_entity,signed,-0.1,525,293,38,270,0.6418092909535452,0.9325044404973357,0.7603186097031138,0.9325044404973357,0.5204262877442274,0.7060390763765542
noun_close_entity,signed,-0.08,522,288,41,275,0.6444444444444445,0.9271758436944938,0.7603787327021122,0.9271758436944938,0.5115452930728241,0.7078152753108348
noun_close_entity,signed,-0.06,522,285,41,278,0.6468401486988847,0.9271758436944938,0.7620437956204379,0.9271758436944938,0.5062166962699822,0.7104795737122558
noun_close_entity,signed,-0.04,521,278,42,285,0.6520650813516896,0.9253996447602132,0.7650513950073421,0.9253996447602132,0.4937833037300178,0.7158081705150977
noun_close_entity,signed,-0.02,521,271,42,292,0.6578282828282829,0.9253996447602132,0.7690036900369004,0.9253996447602132,0.48134991119005327,0.7220248667850799
noun_close_entity,signed,0.0,518,261,45,302,0.6649550706033376,0.9200710479573713,0.7719821162444114,0.9200710479573713,0.4635879218472469,0.7282415630550622
noun_close_entity,signed,0.02,516,255,47,308,0.669260700389105,0.91651865008881,0.7736131934032984,0.91651865008881,0.45293072824156305,0.7317939609236235
noun_close_entity,signed,0.04,516,250,47,313,0.6736292428198434,0.91651865008881,0.7765237020316028,0.91651865008881,0.44404973357015987,0.7362344582593251
noun_close_entity,signed,0.06,516,243,47,320,0.6798418972332015,0.91651865008881,0.7806354009077155,0.91651865008881,0.43161634103019536,0.7424511545293073
noun_close_entity,signed,0.08,513,240,50,323,0.6812749003984063,0.911190053285968,0.7796352583586625,0.911190053285968,0.42628774422735344,0.7424511545293073
noun_close_entity,signed,0.1,511,238,52,325,0.6822429906542056,0.9076376554174067,0.7789634146341463,0.9076376554174067,0.4227353463587922,0.7424511545293073
noun_close_entity,signed,0.12,510,231,53,332,0.6882591093117408,0.9058614564831261,0.7822085889570553,0.9058614564831261,0.4103019538188277,0.7477797513321492
noun_close_entity,signed,0.14,508,225,55,338,0.6930422919508867,0.9023090586145648,0.7839506172839505,0.9023090586145648,0.3996447602131439,0.7513321492007105
noun_close_entity,signed,0.16,508,218,55,345,0.699724517906336,0.9023090586145648,0.7882079131109386,0.9023090586145648,0.3872113676731794,0.7575488454706927
noun_close_entity,signed,0.18,508,211,55,352,0.7065368567454798,0.9023090586145648,0.7925117004680187,0.9023090586145648,0.3747779751332149,0.7637655417406749
noun_close_entity,signed,0.2,506,209,57,354,0.7076923076923077,0.8987566607460036,0.7918622848200314,0.8987566607460036,0.37122557726465366,0.7637655417406749
noun_close_entity,signed,0.22,504,204,59,359,0.711864406779661,0.8952042628774423,0.7930763178599527,0.8952042628774423,0.3623445825932504,0.7664298401420959
noun_close_entity,signed,0.24,502,201,61,362,0.7140825035561877,0.8916518650088809,0.7930489731437599,0.8916518650088809,0.35701598579040855,0.7673179396092362
noun_close_entity,signed,0.26,499,195,64,368,0.7190201729106628,0.8863232682060391,0.7939538583929991,0.8863232682060391,0.3463587921847247,0.7699822380106572
noun_close_entity,signed,0.28,497,187,66,376,0.7266081871345029,0.8827708703374778,0.7971130713712912,0.8827708703374778,0.3321492007104796,0.7753108348134992
noun_close_entity,signed,0.3,493,182,70,381,0.7303703703703703,0.8756660746003553,0.7964458804523424,0.8756660746003553,0.32326820603907636,0.7761989342806395
noun_close_entity,signed,0.32,491,177,72,386,0.7350299401197605,0.872113676731794,0.7977254264825345,0.872113676731794,0.31438721136767317,0.7788632326820604
noun_close_entity,signed,0.34,489,173,74,390,0.7386706948640483,0.8685612788632326,0.7983673469387754,0.8685612788632326,0.30728241563055064,0.7806394316163411
noun_close_entity,signed,0.36,488,166,75,397,0.746177370030581,0.866785079928952,0.8019720624486442,0.866785079928952,0.29484902309058614,0.7859680284191829
